case_id,ecosystem_service
3,Waste Treatment
10,Biochemicals
11,Potable Water
13,Primary Production
15,Biochemicals
17,Potable Water
19,Disease Regulation
20,Waste Treatment
23,Waste Treatment
46,Climate regulation
48,Potable Water
54,Primary Production
55,Climate regulation
57,Waste Treatment
58,Biochemicals
71,Potable Water
72,Potable Water
79,Water Regulation
91,Waste Treatment
132,Waste Treatment
134,Climate regulation
148,Disease Regulation
153,Disease Regulation
154,Climate regulation
156,Primary Production
158,Water Regulation
174,Primary Production
176,Atmospheric regulation
186,Waste Treatment
191,Waste Treatment
235,Climate regulation
235,Atmospheric regulation
268,Climate regulation
289,Climate regulation
294,Climate regulation
307,Aesthetics
