case_id,keyword,keyword_type
1,Transport,product
1,Disaster relief,product
2,Coating,product
2,Reducing drag,product
2,Air-retaining surface,product
2,Micropatterns,product
2,Microfabrication,product
3,Water purification,product
3,Algae,product
3,Water treatment,product
4,Anti-microbial,product
4,Filter,product
5,Power generation,product
5,Wave power,product
6,Fluid dynamics,product
6,Wind power,product
7,Biofuels,product
7,Bioelectrocatalysis,product
8,Biosensor,product
8,Protection,product
8,Biomolecules,product
9,Anti-biofouling,product
9,Underwater,product
9,Skin material,product
10,Antibiotic,product
10,Synthesis,product
10,Pharmaceutical molecules,product
10,Enterocin,product
11,Water filtration,product
11,Membranes,product
11,Aquaporins,product
12,Sensors,product
12,Micro actuators,product
12,"Thermal, chemical and electromagnetic sensing",product
13,Solar energy,product
13,Hydrogen fuel,product
13,Light harvesting,product
14,Wound treatment,product
14,Bone growth,product
14,Peptide amphiphile,product
15,Molecular nano-wires,product
15,Information transfer and storage,product
15,Molecular chain formation,product
16,Acoustic capabilities,product
16,Imaging physical properties,product
17,Self-cleaning water filter,product
17,Wastewater treatment,product
18,Seabed mooring system,product
19,Quorum sensing inhibitors,product
19,Biofilm,product
19,Antibiotics,product
20,Water filtration,product
20,Native plants,product
20,Wetlands,product
20,Nutrients,product
20,Biofilms,product
21,Adhesive surface,product
21,Hairy surface,product
21,Insect tape,product
21,Setae,product
21,Reusable,product
22,Water-based synthetic adhesive,product
22,Bioadhesive,product
22,Biocompatible,product
22,Biodegradable,product
23,Water filtration,product
23,Biolytic,product
23,Humus,product
24,Stabilise/store biological samples,product
25,Artery stent,product
26,Robotic assistant,product
26,Robotic arm,product
26,Flexibility and compliance,product
27,E. coli detection,product
27,Biosensing,product
27,Colorimetric detection,product
28,Biosensor,product
28,Multiple receptors,product
29,Power input and force output,product
29,Robotic bat wing,product
30,Propulsion system,product
30,Thunniform swimming,product
30,Renewable energy,product
31,Biosynthesis,product
31,Cyclic siloxanes,product
32,Hydroxyapatite nanocrystals,product
32,Polymer,product
32,Bone mimetic substance,product
32,Biocompatible,product
33,Bubble-net system,product
33,Net-less technology,product
33,Fishing,product
34,Nanophotonics,product
34,Butterfly colour,product
34,Nanofabrication,product
35,Solar cell,product
35,Light absorption,product
36,Medicine,product
36,Glucose control,product
36,Exendin-3 and exendin-4 polypeptides,product
36,Pharmaceutical,product
37,Carbon-capturing aggregate production,product
37,Cement production,product
37,Converting gas to minerals,product
38,Lightweighting,product
38,Cars,product
38,Software,product
39,Sustainable energy,product
39,Capillary tubes,product
39,Water,product
40,Carbon nanotube yarn,product
41,Carbon sequestering cement,product
41,Magnesia,product
41,Porous microscopic architecture,product
42,Chemical synthesis technique,product
42,Ladder molecule,product
42,Water-based,product
42,Pharmaceuticals,product
43,Computing processors,product
43,Supercomputers,product
43,Brain,product
43,AI decision making,product
