case_id,patent_year,patent_year_raw,patent_number,patent_year_qualifier
1,,N/A,N/A,
3,1982,1982,"US 4,333,263",
3,1990,1990,"US 4,966,096",
3,1992,1992,"US 5,097,795",
3,1998,1998,"US 5,715,774",
3,1998,1998,"US 5,778,823",
3,1998,1998,"US 5,851,398",
4,1998,1998,"5,81,395",
5,2012,2012,"US 8,110,937 B2",
6,2002,2002,"US 6,431,498 B1",
8,2005,2005,US 2005/0042704 A1,
8,2009,2009,"US 7,629,172 B2",
9,2013,2013,"US 8,356,959 B2",
11,2004,2004,US 2004/0049230 A1,
14,2009,2009,US 2009/0269847 A1,
17,1998,1998,WO 98/23357,
18,2011,2011,"US 7,976,245 B2",
19,2010,2010,US 2010/0256369 A1,
20,2006,2006,,
20,2009,2009,,
20,2010,2010,,
20,2011,2011,,
20,2012,2012,US 2012/0118214 A1,
22,,N/A,N/A,
23,2003,2003,US 2003/0116488 A1,
23,2005,2005,"US 6,890,439 B2",
24,2005,2005,US 2005/0276728 A1,
25,2012,2012,"US 8,226,704 B2",
27,1999,1999,"6,001,556",
27,2000,2000,"6,103,217",
27,2000,2000,"6,080,423",
27,2000,2000,"6,022,748",
27,2002,2002,"US 6,395,561 B1",
27,2002,2002,"US 6,485,987 B1",
27,2002,2002,"US 6,468,759 B1",
27,2002,2002,"US 6,387,614 B1",
27,2003,2003,"US 6,660,484 B2",
27,,,,
30,2012,2012,"US 8,288,883 B2",
31,2003,2003,US 2003/0119156 A1,
32,2007,2007,US 2007/0071728 A1,
33,2011,2011,US 2011/0209382 A1,
36,1995,1995,"5,424,286",
37,2011,2011,"US 7,922,809 B1",
39,,N/A,N/A,
41,2008,2008,"US 7,347,896 B2",
42,,N/A,N/A,
44,2009,2009,"US 7,608,330 B2",
45,,Patent pending,N/A,
47,,N/A,N/A,
52,2006,2006,US 2006/0083773 A1,
52,2010,2010,"US 7,857,849 B2",
55,,N/A,N/A,
56,2003,2003,"US 6,613,435 B1",
56,2003,2003,"US 6,555,228 B2",
58,1998,1998,"5,854,056",
58,2011,2011,US 8001719 B2,
58,2012,2012,US 2012/0237996 A1,
59,2011,2011,US 2011/0294044 A1,
61,,N/A,N/A,
63,2011,2011,US 2011/0014549 A9,
65,2003,2003,"US 6,628,724 B2",
66,2010,2010,"US 7,810,867 B2",
68,2008,2008,US 7374112B1,
68,2010,2010,US7694897 B2,
68,2011,2011,US D643509S,
68,2012,2012,US D658270S,
68,2012,2012,US D669963S,
73,2007,2007,"US 7,252,735 B2",
74,2008,2008,US 2008/0169059,
75,2011,2011,US 2011/0021965 A1,
76,2008,2008,US 2008019939 A1,
77,,,1999 (5926974),
78,2011,2011,"US 7,879,743 B2",
80,2013,2013,N/A,
83,1990,1990,4896656,
84,2009,2009,WO/2009/135161,
85,,Korean patent,,
87,2009,2009,"US 7,601,413 B2",
89,2007,2007,"US 7,288,573 B2",
90,2007,2007,Application filed 2008 (WO/2008/151368),
92,2008,2008,"US 7,427,497 B2",
93,,N/A,N/A,
96,,N/A,N/A,
98,2009,2009,US 2009/0318590 A1,
101,2007,2007,WO/2007/141131,
101,2007,2007,PCT/EP2007/054878,
106,2011,2011,US 2011/0062278 A1,
107,2001,2001,6326094,
113,2009,2009,"US 7,615,206 B2",
114,2011,2011,"US 7,999,040 B2",
116,2008,2008,US 2008/0214075 A1,
118,,N/A,N/A,
119,2000,2000,6133402,
122,1998,1998,"5,776,748",
122,1999,1999,"5,976,826",
122,2002,2002,"US 6,368,838 B1",
122,2004,2004,"US 6,686,184 B1",
122,2006,2006,"US 7,067,306 B2",
122,2007,2007,"US 7,267,938 B2",
122,2008,2008,"7,410,791",
123,2002,2002,,
123,2010,2010,EP2174545 A1,
125,2006,2006,"US 7,096,934 B2",
125,2007,2007,"US 7, 287, 580 B2",
125,2008,2008,"US D570,996 S",
125,2008,2008,"US D570,999 S1",
125,2008,2008,"US 7,416,385 B2",
125,2009,2009,"US 7,488,151 B2",
125,2010,2010,"US 7,644,804 B2",
125,2010,2010,"US 7,673,834 B2",
125,2010,2010,"US 7,802,583 B2",
125,2010,2010,"US 7,814,967 B2",
126,2004,2004,US 2004/0168246 A1,
128,2009,2009,EP1812668B1,
130,2011,2011,US 2011/0250427 A1,
134,2009,2009,"US 7,601,946 B2",
134,2010,2010,"US 7,655,942 B2",
134,,,"US 7,659,538 B2",
134,,,"US 7,692,180 B2",
134,,,"US 7,755,829 B2",
134,,,"US 7,768,693 B2",
135,2009,2009,"US 7,580,775 B2",
136,2005,2005,"US 6,856,44 B2",
136,2006,2006,"US 7,133,181 B2",
136,2007,2007,"US 7,277,215 B2",
136,2009,2009,"US 7,593,154 B2",
136,2012,2012,"US 8,213,074 B1",
143,1996,1996,5575841,
144,2009,2009,"US 7,572,501",
144,2010,2010,"US 7,799,127 B2",
145,,N/A,N/A,
146,2001,2001,"US 6,261,360 B1",
147,2003,2003,N/A,
148,2010,2010,"US 7,660,848 B2",
157,2000,2000,"6,105,524",
157,2010,2010,"US 7,789,723 B2",
159,2008,2008,US 2008/0152673 A1,
160,,N/A,N/A,
162,2010,2010,US 2010/0275904 A1,
164,2010,2010,"US 7,838,621 B2",
165,2010,2010,US 2010/0028719 A1,
167,2002,2002,"US 6,423,333 B1",
169,2008,2008,"D571,455 S",
169,2012,2012,"US 8,235,660 B2",
171,2005,2005,"US 6,863,781 B2",
171,2009,2009,US 2010/0133111 A1,
171,2009,2009,US 2010/0101955 A1,
172,2013,2013 - in progress,N/A,
173,,N/A,N/A,
174,,N/A,N/A,
176,2002,2002,"US 6,409,821 B1",
177,2009,2009,"US 7,504,383 B2",
177,2010,2010,"US 7,786,086 B2",
182,2003,2003,US 2003/0113714 A1,
182,2003,2003,US 2003/0073104 A1,
182,2006,2006,US 2006/0121346 A1,
182,2008,2008,"US 7,374,893 B2",
182,2009,2009,"US 7,488,593 B2",
185,2012,2012,US 2012/0097280 A1,
187,2007,2007,,
188,1994,1994,,
188,2003,2003,"US 6,660,363 Bl",
188,2009,2009,US 2009/0304983 Al,
192,2009,2009,WO2009004344A1,
193,,,"Application filed 2006 (2010 0032176), Application filed 2006 (2010 0031957), Application filed 2006 (2009 0212125)",
216,,N/A,N/A,
217,,N/A,N/A,
218,,N/A,N/A,
222,,N/A,N/A,
224,,N/A,N/A,
227,2012,2012,20120174571,
232,,N/A,N/A,
233,,N/A,N/A,
235,2009,2009,WO2009138464A1,
237,2012,2012,WO 2012100002 A1,
260,,,patented,
266,1955,1955,"US 2,717437",
266,1961,1961,"US 3,009235",
267,,N/A,N/A,
273,2012,2012,US 2012/0040324A1,
277,2004,2004,"US 6,719,671 B1",
282,,N/A,N/A,
283,2003,2003,US 2003/0147932 Al,
287,1994,1994,US005275358A,
290,,N/A,N/A,
292,,N/A,N/A,
293,,N/A,N/A,
313,2011,2011,EP 2 306 230 B1,
314,2012,2012,WO 2012035064 A2,
315,,N/A,N/A,
316,2012,2012 (Italy) 2013(international),WO2013160801A1,
320,2009,2009,"US 7,601,946 B2",
320,2010,2010,"US 7,655,942 B2",
320,,,"US 7,659,538 B2",
320,,,"US 7,692,180 B2",
320,,,"US 7,755,829 B2",
320,,,"US 7,768,693 B2",
348,,N/A,N/A,
351,,N/A,N/A,
354,2013,Application ongoing 2013,N/A,
360,2006,2006,US 7049405B2,
361,2005,2005,,
362,,N/A,N/A,
365,,N/A,N/A,
366,,N/A,N/A,
369,,N/A,N/A,
433,,N/A,N/A,
434,2018,2018,"US 10,335,395",
435,,N/A,N/A,
436,,N/A,N/A,
437,,N/A,N/A,
438,,N/A,N/A,
439,2022,2022,N/A,
440,,N/A,N/A,
441,,N/A,N/A,
442,2020,2020,N/A,
443,,N/A,N/A,
444,2020,2020,N/A,
445,,N/A,N/A,
446,,N/A,N/A,
447,,N/A,N/A,
448,,N/A,N/A,
449,,N/A,N/A,
450,,N/A,N/A,
451,,N/A,N/A,
452,2014,2014,N/A,
453,2017,2017,N/A,
454,2019,2019,N/A,
455,2020,2020,N/A,
456,,N/A,N/A,
457,2022,2022,N/A,
458,2018,2018,N/A,
459,2021,2021,N/A,
460,,N/A,N/A,
461,,N/A,N/A,
462,,N/A,N/A,
463,,N/A,N/A,
464,,N/A,N/A,
465,,N/A,N/A,
466,,N/A,N/A,
467,,N/A,N/A,
468,2016,2016,N/A,
469,,N/A,N/A,
470,,N/A,N/A,
471,,N/A,N/A,
472,,N/A,N/A,
473,,N/A,N/A,
474,,N/A,N/A,
475,,N/A,N/A,
476,,N/A,N/A,
477,,N/A,N/A,
478,,N/A,N/A,
479,,N/A,N/A,
480,,N/A,N/A,
481,,N/A,N/A,
482,,N/A,N/A,
483,,N/A,N/A,
484,,N/A,N/A,
485,,N/A,N/A,
486,2018,2018,"US 10,117,968",
487,,N/A,N/A,
488,2020,2020,N/A,
489,,N/A,N/A,
490,,N/A,N/A,
491,2020,2020,"US 10,788,058",
492,2012,2012,WO 2012/100100,
493,,N/A,N/A,
494,,N/A,N/A,
495,2015,2015,N/A,
496,,N/A,N/A,
497,,N/A,N/A,
498,,N/A,N/A,
499,,N/A,N/A,
500,,N/A,N/A,
501,,N/A,N/A,
502,,N/A,N/A,
503,,N/A,N/A,
504,2016,2016,"US 10,087,422",
505,2018,2018,N/A,
506,2021,2021,N/A,
507,2021,2021,N/A,
508,,N/A,N/A,
509,,N/A,N/A,
510,2021,2021,"US 10,954,482",
