case_id,Case Status,Unnamed: 2,Product Phase,Concept Year_year,Concept Year_year_raw,Concept Year_year_qualifier,Prototype Year_year,Prototype Year_year_raw,Prototype Year_year_qualifier,Commercial Year_year,Commercial Year_year_raw,Commercial Year_year_qualifier,Patent mentions biomim*?,Academia or Industry,Company or Institution Name,Innovator?,Product Name,Product Description,Aerospace or Transport?,Mimic,Mimic Description,Sustainability?,Kingdom,Group,Phylum,Mimic System,Mimic Subsystem,Mimic Suprasystem,BioM Intensity,Bioutilization?,Species Utilized,Is this product Biomimetic?,Is this an Ecosystem Service,Process Type,Source(s),"Do the official or commercial product descriptions or journal article by developer mention inspir*, Biom*, Bioni*, or mimi*?",Third Party,Product Biomimetic Description Word,Word Category,Country,Continent,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,display_name,biom_type_function,biom_type_form,biom_type_process,biom_type_interaction,biom_type_na,country_iso3,country_name_canonical
1,"Complete, with interview",,No longer in development,2009.0,2009,,,,,,,,,,Monash University,True,ANT (Aid Necessities Transporter),Disaster relief vehicle.,True,Ant behaviour,Mimics the way that ants bring resources to the colony efficiently.,False,Animalia,Invertebrates,Arthropoda,Population,Organism,,0.0,False,,True,False,Design to Biology,"www.behance.net/gallery/A_N_T_--Aid-Necessities-Transporter/597216
www.thedesigncritic.wordpress.com/2010/07/13/student-spotlight-bryan-lee/
www.monash.edu.au/alumni/find/profiles/stories/bryanlee.html",True,,Inspiration,Inspir*,Australia,Oceania,,,,,,,ANT (Aid Necessities Transporter),True,False,False,False,False,AUS,Australia
2,"Complete, no interview",,In Development,,,,,,,,,,,,"Ohio State University, College of Engineering",True,,Coating for boats and other aquatic vessels that will increase buyancy while decreasing friction and drag.,True,Water fern (Salvina molesta) leaf surface (eggbeater shaped hairs),"Enginers re-created the surface of this plant using plastic. The hairs allow for air to be trapped (creating buoyancy) while also ""stick"" to water (allowing the plant to remain still while ontop of the water. ",False,Plantae,Plants,Pteridophyta,Tissue,Cell,Organ,1.0,False,,True,False,,"www.engineering.osu.edu/content/bharat-bhushan
Hunt, J. & Bhushan, B., 2011. Nanoscale biomimetics studies of Salvinia molesta for micropattern fabrication. Journal of Colloid and Interface Science, 363(1), pp.187–192.
http://www.treehugger.com/clean-technology/plant-eggbeater-shaped-hairs-inspires-new-waterproof-coating.html",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
3,"Complete, with interview",,Commercially Available,1981.0,1981,,1982.0,1982,,1993.0,1993,,True,,HydroMentia Inc,True,Algal Turf Scrubber,Solar-powered water treatment system that pulses contaminated water across algal screens.,False,Coral reef wave action (oscillating motion),"Algal turf scrubber pulses water over algae, mimicking coral reef wave action.",True,,,,Organism,Organ System,Population,0.0,True,"Algae, Diatoms, Bacteria",True,True,Design to Biology,http://www.hydromentia.com/Products-Services/Algal-Turf-Scrubber/index.html,True,,Mimic,Mimi*,USA,North America,,,,,,,Algal Turf Scrubber,True,False,False,False,False,USA,United States
4,"Complete, no interview",,Commercially Available,,,,2008.0,2008,,2009.0,2009,,False,,Filligent HK Ltd,,BioFriend ™ Anti-Microbial,Molecular technology that binds viruses and bacteria and can be applied to textiles.,False,Human cell receptor sites,"Mimics the sites on human cells to trap bacteria and viruses, then disrupts their cell walls.",False,Animalia,Chordates,Chordata,Organelle,Molecule,Cell,1.0,False,,True,False,,"www.filligent.com/public/productsDetail.php?pageId=98&categoryId=2&productId=25
Tiliket, G. et al., 2011. A new material for airborne virus filtration. Chemical Engineering Journal, 173(2), pp.341–351.",False,"Ask Nature
http://www.asknature.org/product/4535c47d225d0585cd4139133629f19d",,,Hong Kong,Asia,,,,,,,BioFriend ™ Anti-Microbial,False,True,False,False,False,HKG,Hong Kong
5,"Complete, with interview",,In Development,2005.0,2005,,2013.0,2013,,,,,False,,BioPower Systems,True,bioWAVE™,Wave power system.,False,Underwater flora movement,Mimicking the physical characteristics of  sea plants and how they move to create a product that could withstand large amounts of force (from the ocean) while still absorbing energy. ,True,Protista,Other,Heterokontophyta,Organism,Organ System,Population,2.0,False,,True,False,Retroactive,http://www.biopowersystems.com/biowave.html,True,,Biomimicry,Biomimic*,Australia,Oceania,,,,,,,bioWAVE™,False,True,True,False,False,AUS,Australia
6,"Complete, with interview",,Commercially Available,2005.0,2005,,2005.0,2005,,2009.0,2009,,False,,WhalePower,True,Tubercle Technology,"Fan and wind turbine blade design, with bumps on leading edge of blades.",False,Humpback whale (Megaptera novaeangliae) fin,Bumps on fin of a humpback whale which increase power at lower fluid speeds and produce an increased lift efficiancy.,True,Animalia,Chordates,Chordata,Organ,Tissue,Organ System,1.0,False,,True,False,Biology to Design,"http://www.whalepower.com/drupal/?q=node/1
http://www.gizmag.com/bumpy-whale-fins-set-to-spark-a-revolution-in-aerodynamics/9020/",False,"Ask Nature
http://www.asknature.org/product/49269092db17515de04ac92a75f68bb1",,,Canada,North America,,,,,,,Tubercle Technology,False,True,False,False,False,CAN,Canada
7,"Complete, no interview",,No longer in development,,,,,,,2014.0,Expected 2014,expected,,,Akermin (ceased operations 2016),,Biocatalyst Delivery System,Stabilizes carbonic anhydrase enzyme (CO2 absorber) in a synthetic polymer film.,False,,,True,,,,Cell,Organelle,Tissue,,True,Carbonic anhydrase enzyme,False,False,Biology to Design,"www.akermin.com/home/polymer-technology/
www.chem.utah.edu/faculty/minteer/research.html",False,"Ask Nature
http://www.asknature.org/product/6896ceb821667a9a9e35f74f76c49082",,,USA,North America,,,,,,,Biocatalyst Delivery System,False,False,False,False,True,USA,United States
8,"Complete, no interview",,In Development,,,,,,,,,,False,,"Becton, Dickenson & Company",,,Amorphous silica nano-capsules. Product embeds glucose-binding proteins within an amorphous silica sol-gel matrix to stabilize and protect the proteins.,False,Diatoms,Formation of amorphous silica by diatoms to bind biomolecules.,False,Protista,Other,Heterokontophyta,Cell,Organelle,Organism,1.0,False,,True,False,,"www.asknature.org/product/7c33388961d6174e1ffb19fb2fc4ccdd
www.bd.com/
",False,"Ask Nature
www.asknature.org/product/7c33388961d6174e1ffb19fb2fc4ccdd",,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
9,"Complete, no interview",,In Development,,,,,,,,,,,,"Teledyne Scientific Company

University of California, Los Angeles, Department of Materials Science and Engineering",,,Viscous layer that has continuous self-shedding capabilities and chemically breaks up fouling material.,True,Pilot whale skin (Delphinidae skin in general),"Gel coating surface on Delphinidae skin, specifically the hydrolytic enzyme that initiates a desquamation process.
Researches specifically looked at pilot whale skin (Globicephala).",False,Animalia,Chordates,Chordata,Organ,Tissue,Organism,1.0,False,,True,False,Biology to Design,"No mention of Product or developers on the Teledyne website.
Ganguli, R., Mehrotra, V. & Dunn, B., 2009. Bioinspired living skins for fouling mitigation. Smart Materials and Structures, 18(10), p.104027.
Baum, C. et al., 2003. Surface properties of the skin of the pilot whale Globicephala melas. Biofouling, 19(S1), pp.181–186.",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
10,"Complete, no interview",,Commercially Available,,,,,,,,,,,,"University of California, San Diego, Scripps Institution of Oceanography, Skaggs School of Pharmacy and Pharmaceutical Sciences

University of Arizona",True,,"Accelerated antibiotic, and biomolecule synthesis.",False,Sea sediment bacterium,Chemical synthesis pathway of a natural antibiotic produced by a Hawaiian sea sediment bacterium. ,False,Monera,Other,,Cell,Organelle,Organism,1.0,False,,True,True,Biology to Design,"www.pharmacy.ucsd.edu/faculty/moorebio.shtml
www.scrippsnews.ucsd.edu/Releases/?releaseID=837
Cheng, Q. et al., 2007. Enzymatic total synthesis of enterocin polyketides. Nature Chemical Biology, 3(9), pp.557–558.",False,,,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
